,Sample02_DFS20,Sample03_DFS21,Sample04_DFS31,Sample05_DFS32,Sample06_DFS34,Sample07_DFS37,Sample08_DFS39,Sample09_UM#7W4,Sample10_UM#8W4,Sample11_UM#15W0,Sample12_UM#23W0,Sample13_UM#24W0,Sample14_UM#30W4,Sample15_P2#13,Sample16_UM#27W4,Sample17_UM#28W4,Sample18_UM#31W4,Sample19_P2#01,Sample20_P2#03,Sample22_P2#21,Sample01_DFS11,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
Sample02_DFS20,0.0,0.019403949339758864,0.20812415768138748,0.12245807009296161,0.20844346641499722,0.057778940302294135,0.04206019928926097,0.15064142405501335,0.23250941586303142,0.25672564240587703,0.15151662133645127,0.2945592142064396,0.22760574874391692,0.35727682644738135,0.16643567822149374,0.16277377780820146,0.25748163202546626,0.1102843906336265,0.21495697118170354,0.30156824275035365,0.07390764588476151,0.9633062837672733,0.9417011217686316,0.9482727778938661,0.9844201924937169,0.9235944738445526,0.9545193963242582,0.9544765076727819,0.9765760893786756,0.9294765544499752,0.9176981451044811,0.9130870168261094,0.521717153894319,0.2586124368512597,0.6671928354925942,0.8899383149735928,0.5409775660192098,0.34305512619380674,0.8748836759636465,0.4011382454221285,0.46655560586451794,0.3408819018379792
Sample03_DFS21,0.019403949339758864,0.0,0.24486264832989169,0.1499471661771744,0.21996736518176274,0.0484139364793722,0.05085743888308114,0.2101134667171155,0.27099873185247914,0.28870129424166435,0.20348488400398368,0.3276505710451445,0.2534382890044463,0.35689410198242844,0.21840608567632724,0.21438175964641182,0.3085933099069812,0.1600292295041421,0.25686283741400917,0.31150378735811146,0.08461259085774009,0.9323963415691614,0.9051655029964296,0.9161938715652426,0.9456153065654652,0.8879743507783693,0.9195245185609068,0.9224048190909434,0.9467149710003178,0.8971113934438489,0.8836908920093647,0.8712963385826888,0.4860005368531698,0.2290756738081785,0.6241952971173405,0.8489049970259802,0.5135669692951899,0.3242609648255338,0.8325516590051146,0.37063854549695496,0.4353688052924969,0.3080710919335917
Sample04_DFS31,0.20812415768138748,0.24486264832989169,0.0,0.17817511198340596,0.13504857601039622,0.2545699605596108,0.17394905137951022,0.1716449179452959,0.07938388267132501,0.10277920135257479,0.10840338182726139,0.08232371246304637,0.09057214415239667,0.22945559778657598,0.13322121671270948,0.13404271691324465,0.177919259283579,0.10629208677573687,0.10286063350600516,0.1824597787229193,0.19276062869108412,0.8071716471503696,0.7909850185784881,0.8004480828112873,0.8448765910619181,0.8004247264015412,0.8114692882207157,0.7993163953849727,0.7936817426117857,0.7945730542045135,0.8177422215316252,0.9067472865174574,0.549786420898605,0.45351398347180394,0.7547631607228231,0.9117503772113819,0.6726260367037953,0.42869741242183956,0.910433365530789,0.5616392616209915,0.5796915452136224,0.5197286811970138
Sample05_DFS32,0.12245807009296161,0.1499471661771744,0.17817511198340596,0.0,0.15330844449700343,0.11180543787139674,0.13606579695655918,0.17402158737086193,0.19609852663802196,0.20982240096342675,0.1482661905606757,0.24031449099853153,0.18813257213688594,0.2653966334469581,0.1603954169315447,0.15049533237699486,0.24666641648893706,0.1145876990239314,0.21196025906179572,0.19931654569863733,0.14094163872581555,0.9584941831066685,0.9390938892653093,0.9269778639386069,0.9878125368146868,0.9066378293667557,0.9382376013533749,0.9329854894280408,0.9657533606777922,0.9187964524457982,0.9046375181467788,0.9569985542157609,0.5965453270221677,0.37377846454448116,0.7097355715118367,0.9490906524990175,0.6027318915454836,0.4228186143295606,0.9264028984542272,0.5157650334725794,0.5270934664797307,0.4285045458577089
Sample06_DFS34,0.20844346641499722,0.21996736518176274,0.13504857601039622,0.15330844449700343,0.0,0.18292709670538654,0.164209399144307,0.30704906768646645,0.18430543251192633,0.1694516902703186,0.2352941815868077,0.19642419417502155,0.15379803714305262,0.16310467000564444,0.24678950279236134,0.24450248673008534,0.33605074154959547,0.1938709213193447,0.21691883959724434,0.14647799437409192,0.126117468206022,0.7243164624314986,0.6763448259100573,0.6966176851164022,0.7260130341764335,0.6939022880029972,0.712457101804624,0.7052924314230619,0.7252890866272487,0.6936104671127044,0.6922661409712687,0.7316723191460577,0.4922320842140424,0.3693276928781506,0.5718523192770487,0.7411985898944733,0.48226388696327727,0.35567584423540644,0.717653044956613,0.42961931321743896,0.4389923240925099,0.38225572293313803
Sample07_DFS37,0.057778940302294135,0.0484139364793722,0.2545699605596108,0.11180543787139674,0.18292709670538654,0.0,0.07281604647417272,0.21513596702504134,0.2622652986934979,0.2646079413651202,0.20706581618319853,0.3278104113980391,0.24946309397231103,0.3247856086886587,0.21545937962638484,0.2108843108981755,0.31286333217961837,0.1701895803147756,0.2762746625827277,0.26946253181966906,0.07787927391141136,0.9504304289225112,0.9143655259738641,0.9191795743252335,0.9455769185353344,0.9034474708549587,0.928749577425305,0.9281322516014392,0.9589508687708104,0.9027954746482925,0.8910634783174729,0.866068493216725,0.5238136286397709,0.25558415198917706,0.6191153723921339,0.8532925415660069,0.5005805699894488,0.33777085868576207,0.8292287153025676,0.4013977952364395,0.4501143148091803,0.3186331237238066
Sample08_DFS39,0.04206019928926097,0.05085743888308114,0.17394905137951022,0.13606579695655918,0.164209399144307,0.07281604647417272,0.0,0.1790615280910517,0.20126784695254707,0.21836008127952977,0.16188469098122849,0.2597938997858017,0.20244478444348712,0.300513820738197,0.174222291095667,0.17211083929067705,0.2584573496017991,0.12597318119164946,0.20437053572691777,0.25536338709923245,0.04476471058272702,0.9413381854029259,0.9043485455611612,0.9290671060872803,0.9478732787898183,0.9071023713898971,0.9270182787432724,0.9370475245944344,0.9500031987850784,0.9144521364360565,0.9053724426607809,0.8994757824762105,0.5338688285169084,0.29082530131168627,0.6847922317625628,0.8842518509486389,0.5631800789552686,0.35719447124623127,0.8706627881243773,0.42392509879722784,0.4705304141923462,0.3693569724687661
Sample09_UM#7W4,0.15064142405501335,0.2101134667171155,0.1716449179452959,0.17402158737086193,0.30704906768646645,0.21513596702504134,0.1790615280910517,0.0,0.15356901040279425,0.19995714843821322,0.05236599227392835,0.2214043007298494,0.20208076076047388,0.4647137609952231,0.03915402466943185,0.03996706304203412,0.09264193286150613,0.06838474340213152,0.1472975111118161,0.3503168225176102,0.23233511352217306,1.0957254422744098,1.1031970639996012,1.0773628213460575,1.1375733590784367,1.0724834250034285,1.0915945508308476,1.0873697071848158,1.0928214056671073,1.0646428661764404,1.0669274945761744,1.1109591673383383,0.6982558319707889,0.4497111185415992,0.8972971727192862,1.094010723937416,0.7731621333464077,0.4812050941139281,1.0925990341476486,0.5959347413426794,0.6591325809092101,0.5449007268395232
Sample10_UM#8W4,0.23250941586303142,0.27099873185247914,0.07938388267132501,0.19609852663802196,0.18430543251192633,0.2622652986934979,0.20126784695254707,0.15356901040279425,0.0,0.037051281063944064,0.08082768524276629,0.05362437145764043,0.05203623034076277,0.18678004496629963,0.08519163351361914,0.08600167525266189,0.11224124742626551,0.09656711855047517,0.0682762605952486,0.14659244069687327,0.21876417857492647,0.8155759524729433,0.8147625968507852,0.8027268525439957,0.8692787606262977,0.8091071374709866,0.8222173396047312,0.8155635856701933,0.8122884028120506,0.7894138136191443,0.8079701377079244,0.9346729526988787,0.5612493205622959,0.47341275471028454,0.749049678774214,0.9395299686542058,0.6673403371476345,0.43709328294627403,0.9380267944463364,0.5668428525121441,0.5863243334456003,0.5408642801178354
Sample11_UM#15W0,0.25672564240587703,0.28870129424166435,0.10277920135257479,0.20982240096342675,0.1694516902703186,0.2646079413651202,0.21836008127952977,0.19995714843821322,0.037051281063944064,0.0,0.14787943061729958,0.11355785219134973,0.09462901617575081,0.1826112298073247,0.134884931484347,0.1414211568004765,0.21166961945115714,0.1483545411408942,0.142248668178377,0.17923103220263015,0.22006229289135293,0.7074426182274329,0.7010458367724468,0.6864566509249385,0.7608889819397175,0.6939806466768321,0.7082605249322731,0.7047918255144878,0.7047605349535977,0.6866651568429998,0.7013390832287365,0.8464562827143214,0.5065124744529502,0.44671971359138873,0.6596249378570735,0.8572328000434694,0.5924487004163592,0.41382317353876685,0.8498064971866895,0.5303236255570227,0.5130180483829214,0.4908309955947344
Sample12_UM#23W0,0.15151662133645127,0.20348488400398368,0.10840338182726139,0.1482661905606757,0.2352941815868077,0.20706581618319853,0.16188469098122849,0.05236599227392835,0.08082768524276629,0.14787943061729958,0.0,0.11633978702219927,0.0888001118984445,0.3246916477726245,0.027149872904381422,0.024614586206717082,0.048021915218025124,0.026044704052645584,0.05029860686113452,0.22056910611074054,0.2025781641591381,1.0104239827285897,1.0164086663260141,0.9972011326797128,1.0591188532712048,0.9921922522499715,1.0180504318854875,1.0014446043164829,1.0098609833396697,0.9754179239635672,0.9825995188029751,1.040264987134616,0.6423010308295585,0.4447693427017567,0.8394167995989038,1.0333562610847433,0.7349410758999309,0.45455573395284343,1.030994212288654,0.5762778155592638,0.642745571716364,0.5323766935556162
Sample13_UM#24W0,0.2945592142064396,0.3276505710451445,0.08232371246304637,0.24031449099853153,0.19642419417502155,0.3278104113980391,0.2597938997858017,0.2214043007298494,0.05362437145764043,0.11355785219134973,0.11633978702219927,0.0,0.05034086083277134,0.1832327122105326,0.1381491243268369,0.13517730536152628,0.13082026287918436,0.14093176571058819,0.06973004825502893,0.12097751293626591,0.27255491334921433,0.8200871285181917,0.8113450788972774,0.80968287301081,0.8676441380843811,0.813048287154591,0.8307432861613474,0.8165725343414268,0.8119979513679523,0.7878640387416234,0.8180746595532462,0.9351476095449676,0.5895395952721172,0.5280757743684814,0.7918274541598664,0.9413164082514679,0.7180085681679491,0.4797020570382188,0.9419530382675081,0.6137476085322122,0.6459463967594976,0.589785602019874
Sample14_UM#30W4,0.22760574874391692,0.2534382890044463,0.09057214415239667,0.18813257213688594,0.15379803714305262,0.24946309397231103,0.20244478444348712,0.20208076076047388,0.05203623034076277,0.09462901617575081,0.0888001118984445,0.05034086083277134,0.0,0.14035942528936163,0.11417430619792723,0.11082456988311329,0.13949409356578546,0.08902835452079438,0.044620453563660845,0.10357529063184678,0.2089845046853379,0.7708659574790271,0.7719300425313913,0.7587531486101929,0.8339749083813424,0.7562723074166242,0.7928184558588881,0.7660628468858419,0.7764522346687566,0.7302903433516422,0.7484857506471263,0.8715429684560281,0.5449150681175259,0.44876056614457227,0.6891915938717881,0.8692826448749054,0.6182267003920134,0.43034112950159153,0.8608018549313583,0.534120589102562,0.5642291553674945,0.5064123163991722
Sample15_P2#13,0.35727682644738135,0.35689410198242844,0.22945559778657598,0.2653966334469581,0.16310467000564444,0.3247856086886587,0.300513820738197,0.4647137609952231,0.18678004496629963,0.1826112298073247,0.3246916477726245,0.1832327122105326,0.14035942528936163,0.0,0.33996982933506403,0.33211393313261917,0.4041280265028514,0.29231701808365207,0.24370317984612455,0.08689219593591901,0.26027921385302233,0.5777362927066074,0.5523174979694061,0.5621678983883925,0.6292936686712909,0.5503934144726046,0.5859762865334089,0.5724753322975578,0.5993666880873748,0.5429683558085392,0.5493216096207133,0.6860877277767949,0.45996664276716115,0.4906986264570893,0.5045887344035075,0.6891035136822913,0.4712266341149979,0.4548113757929181,0.6704359250886225,0.5214026385452448,0.48568182314176533,0.49469549517601885
Sample16_UM#27W4,0.16643567822149374,0.21840608567632724,0.13322121671270948,0.1603954169315447,0.24678950279236134,0.21545937962638484,0.174222291095667,0.03915402466943185,0.08519163351361914,0.134884931484347,0.027149872904381422,0.1381491243268369,0.11417430619792723,0.33996982933506403,0.0,0.0028471485503194227,0.05620469322173682,0.04166363318738164,0.07570892809890484,0.2430048077862874,0.2129255022593225,1.0152809398704763,1.0200587997026878,0.9904947636007329,1.065333565006058,0.9884625222793546,1.0116560618825017,1.0050128387527435,1.0146269319932744,0.9705186732776084,0.9780287893468721,1.0463032402781527,0.6487814605605777,0.4374601121244832,0.8270140867205095,1.0331762451495947,0.7113980982627883,0.4594853836414655,1.0275919631456463,0.5682306024557018,0.6172956057962539,0.5167885260789395
Sample17_UM#28W4,0.16277377780820146,0.21438175964641182,0.13404271691324465,0.15049533237699486,0.24450248673008534,0.2108843108981755,0.17211083929067705,0.03996706304203412,0.08600167525266189,0.1414211568004765,0.024614586206717082,0.13517730536152628,0.11082456988311329,0.33211393313261917,0.0028471485503194227,0.0,0.054477033132248276,0.0379809265260046,0.07448750263576187,0.23433200324878922,0.21267824148446635,1.0244360297035393,1.0299952415981264,1.0001146629795288,1.075131809517512,0.9965803837510483,1.020556202433294,1.0136052150592443,1.0252036837254892,0.9788381691240795,0.9851754148047864,1.0552511074412476,0.6537456286793519,0.4425101942007895,0.8320783362602013,1.0421007081971092,0.7160170673620504,0.4633837964055171,1.0357705069648289,0.573455766975655,0.6242759577644101,0.5227375477250101
Sample18_UM#31W4,0.25748163202546626,0.3085933099069812,0.177919259283579,0.24666641648893706,0.33605074154959547,0.31286333217961837,0.2584573496017991,0.09264193286150613,0.11224124742626551,0.21166961945115714,0.048021915218025124,0.13082026287918436,0.13949409356578546,0.4041280265028514,0.05620469322173682,0.054477033132248276,0.0,0.09894603383556655,0.07999433259586519,0.2689310651858391,0.3118347406005073,1.109089475902211,1.119320409360766,1.0972485128999545,1.1460666577448135,1.098873038510894,1.115064231104216,1.1018450152193728,1.1030699334157166,1.0736020237201824,1.0892050598509628,1.1306380480649862,0.7537674641940451,0.5591946689282796,0.9696295665407515,1.1226591430665238,0.8600121066209719,0.561144933780708,1.1282213401147554,0.6853503795212801,0.7616712967133961,0.6585852284248923
Sample19_P2#01,0.1102843906336265,0.1600292295041421,0.10629208677573687,0.1145876990239314,0.1938709213193447,0.1701895803147756,0.12597318119164946,0.06838474340213152,0.09656711855047517,0.1483545411408942,0.026044704052645584,0.14093176571058819,0.08902835452079438,0.29231701808365207,0.04166363318738164,0.0379809265260046,0.09894603383556655,0.0,0.06285490551710382,0.22115409643381712,0.15974775602930258,0.9619480462455647,0.9617775446493217,0.9431389892394633,1.0139189968686582,0.9357986561168757,0.9685759965613876,0.9514099925636017,0.9659435046899241,0.9226337015691404,0.9247896927891692,0.9888710304774909,0.6023487466661845,0.3992664957679234,0.7673016683439875,0.9748117014800063,0.660139387115598,0.42866490515509936,0.9665590816751908,0.5293144485795815,0.5793258500904801,0.4794535917280539
Sample20_P2#03,0.21495697118170354,0.25686283741400917,0.10286063350600516,0.21196025906179572,0.21691883959724434,0.2762746625827277,0.20437053572691777,0.1472975111118161,0.0682762605952486,0.142248668178377,0.05029860686113452,0.06973004825502893,0.044620453563660845,0.24370317984612455,0.07570892809890484,0.07448750263576187,0.07999433259586519,0.06285490551710382,0.0,0.17460801813338123,0.23051003025223848,0.8882554417775376,0.8917877894305202,0.8743301921500729,0.9508304195650136,0.8733505744660599,0.9055966568666323,0.8819266768352978,0.8913720837117526,0.8481823401542932,0.8617736745470548,0.9516836302672079,0.608464100411226,0.46262484647832447,0.7743462005900525,0.9477526718568728,0.6960086866256817,0.45940499426423476,0.9429456554989166,0.5622457239477152,0.6174484027148939,0.5375996132481387
Sample22_P2#21,0.30156824275035365,0.31150378735811146,0.1824597787229193,0.19931654569863733,0.14647799437409192,0.26946253181966906,0.25536338709923245,0.3503168225176102,0.14659244069687327,0.17923103220263015,0.22056910611074054,0.12097751293626591,0.10357529063184678,0.08689219593591901,0.2430048077862874,0.23433200324878922,0.2689310651858391,0.22115409643381712,0.17460801813338123,0.0,0.22380487847158226,0.7670079908083561,0.7422354651760079,0.7526269635662737,0.806618821396911,0.7375142524839239,0.7841805814439827,0.754600156402295,0.7806171456883781,0.7230489198561034,0.740695454302794,0.824567582502551,0.5547631277770901,0.49193604015846626,0.6504593029217882,0.8300939470582855,0.5752166010264543,0.43762230637348143,0.8165592892728467,0.5348234497773885,0.567245481608686,0.5037883468212119
