Gene,RFE_Ranking
AASS,3
ABCA10,4
ABCA2,6
ABCA3,5
ABCA5,4
ABCA6,3
ABCA8,2
ABCA9,4
ABI3,4
ABRACL,5
ACACB,3
ACADSB,4
ACBD4,6
ACCS,4
ACTB,6
ACTN1,6
ADAM10,3
ADAM12,4
ADAM19,2
ADAM33,5
ADAM8,3
ADAM9,6
ADAMTS12,2
ADAMTS9,5
ADAMTS9-AS2,5
ADCY2,3
ADCY5,4
ADD3,2
ADGRD1,6
ADGRE2,2
ADH1B,6
ADRA2C,2
AGAP11,2
AGAP2-AS1,4
AGAP4,6
AHNAK,2
AHSA2P,5
AKAP1,3
AKIP1,5
ALDH18A1,2
ALDH1A1,2
ALDH3A2,2
ALDH5A1,1
ALPL,2
ALYREF,2
AMOT,3
AMT,6
AMY2B,4
ANGPT2,3
ANGPTL1,5
ANK2,5
ANKZF1,3
ANLN,4
AOX1,3
AP2M1,6
AP5S1,5
APBA2,6
APLN,4
APOBEC3B,5
APOD,1
AQP1,5
AR,6
ARCN1,6
ARF1,5
ARF4,3
ARHGAP11A,5
ARHGAP12,2
ARHGDIA,6
ARHGEF26,2
ARMC9,4
ARPC1B,6
ARPC4,4
ARPC5,4
ARSB,5
ARSI,1
ARSJ,5
ASF1B,3
ASH1L,3
ASPM,4
ATAD2,4
ATAD3A,4
ATP6V0E2,3
AURKA,5
AURKB,4
AVEN,5
B4GALT1,4
BATF3,5
BAX,6
BBS2,1
BCAR1,5
BCAT1,6
BCL2,3
BCL2A1,3
BID,4
BIRC5,5
BMP1,3
BMP4,6
BOC,3
BOLA2B,5
BTNL9,5
BUB1,6
BUB1B,6
BYSL,5
C11orf24,3
C1QTNF6,2
C1orf115,3
C4orf48,6
C7,4
CAB39L,3
CACHD1,1
CALCOCO1,2
CALR,4
CALU,2
CANT1,3
CAPN3,3
CAPZB,6
CARM1,6
CASTOR3,6
CAVIN2,6
CBFA2T3,6
CBX7,3
CCDC146,6
CCDC167,2
CCDC18-AS1,3
CCDC191,2
CCL28,4
CCNA2,6
CCNB1,6
CCNB2,5
CCR1,3
CCT2,5
CCT5,6
CD300E,6
CD93,6
CDC20,3
CDC25A,6
CDC45,4
CDC6,5
CDC7,4
CDCA2,5
CDCA3,6
CDCA5,6
CDCA8,6
CDH11,4
CDK1,6
CDKN3,5
CDON,4
CDR2L,3
CECR7,5
CEMIP2,3
CENPA,6
CENPE,2
CENPF,3
CENPK,5
CENPN,5
CENPO,6
CEP55,4
CEP68,2
CEP95,5
CFD,3
CFL1,6
CGAS,5
CGNL1,2
CHD6,2
CHEK1,5
CHN1,2
CHPF2,5
CHRDL1,6
CHST1,4
CHST11,4
CHST15,5
CHSY3,2
CIAO2A,5
CILP,2
CIP2A,4
CKAP2L,4
CKAP4,4
CKS2,4
CLCN6,5
CLDN11,4
CLEC3B,6
CLEC5A,6
CLIC1,5
CLSTN2,5
CLU,1
CMA1,5
CMC2,5
CNN2,4
CNNM3,2
CNTFR,5
COL10A1,3
COL15A1,5
COL4A1,5
COL4A2,5
COL4A6,2
COL5A2,4
COL6A3,5
COLGALT1,6
COPB2,5
COPG1,4
COTL1,3
CPE,5
CPED1,6
CRACR2B,4
CREBZF,3
CRELD2,5
CRY2,3
CSAD,4
CTC-338M12.4,3
CTDSPL,2
CTSB,5
CTSF,2
CTSL,3
CX3CL1,2
CXCL1,3
CXCL3,3
CXCL5,6
CXCL6,6
CXCL8,4
CYBRD1,2
CYP4B1,2
CYP4F12,3
CYP4X1,1
CYTL1,2
CYTOR,4
D2HGDH,2
DCLK1,2
DCST2,5
DDOST,6
DEPTOR,1
DFFA,2
DHRS3,2
DIO3OS,3
DLGAP5,5
DMD,4
DNAH1,6
DNAJB11,5
DNAJC15,3
DNHD1,5
DNMBP,2
DOK3,6
DPM2,2
DPY19L1,3
DTYMK,3
DYNLT1,6
DYSF,5
E2F1,6
E2F3,6
ECHDC2,5
ECT2,2
EDEM2,4
EGFR,2
EHD3,4
EHD4,5
EIF4A1,6
EIF4E2,4
EIF4EBP3,2
ELFN1,2
EMILIN1,4
ENG,3
ENO1,6
ENTPD7,5
EPHX1,6
EVA1A,5
EXO1,4
EZH1,3
F10,4
FAAH,2
FAHD2B,2
FAHD2CP,4
FAM107A,2
FAM111B,6
FAM117A,2
FAM13A,6
FAM13A-AS1,4
FAM167B,5
FAM180B,3
FAM189A2,5
FAM20C,3
FAM83D,2
FAN1,1
FAP,5
FAXDC2,4
FBLN5,2
FBXO44,3
FBXO5,3
FBXW4,1
FCGR1A,5
FCGR1CP,3
FEN1,2
FHL1,3
FHL3,6
FKBP10,5
FKBP11,5
FKBP14,3
FKBP1A,3
FMNL3,3
FN1,4
FN3K,3
FNDC3B,4
FOXM1,6
FRY,2
FRZB,2
FSCN1,6
FTX,6
FXYD1,6
FXYD5,6
GALE,2
GALNT16,6
GALNT2,6
GALT,2
GAPDH,3
GBGT1,5
GFPT2,3
GFRA1,2
GIGYF1,2
GINS1,3
GINS2,3
GIPC2,4
GK,4
GLA,5
GLDN,3
GLIPR1,3
GLIS3,2
GLMP,2
GMNN,6
GMPPA,5
GNAI2,4
GNG5,2
GOLGA8B,2
GOLGA8N,3
GOLGA8R,2
GPC3,6
GPD1L,2
GPIHBP1,4
GPR161,2
GPR176,2
GPR4,4
GPR84,3
GPRASP1,5
GPT,6
GPX8,4
GREM1,2
GRTP1,2
GSDMB,6
GSDME,5
GSN,2
GSTM2,2
GSTM5,5
GSTO1,6
GTF2IP20,2
GTF2IRD2,4
GTF2IRD2B,5
GTSE1,5
GUSBP11,3
GYG1,4
HAUS1,6
HDAC11,1
HDC,4
HECTD4,4
HERC2P9,3
HID1,6
HIF1A,4
HIF3A,4
HJURP,6
HK3,3
HLF,2
HM13,6
HMBS,5
HMCN2,6
HMGB3,5
HMMR,6
HNRNPAB,2
HOXC-AS1,4
HOXC12,2
HPCAL1,6
HPGDS,4
HPRT1,3
HRCT1,4
HS3ST3B1,4
HSF4,6
HSP90B1,5
HSPA13,3
HSPA5,4
HYAL2,2
HYI,2
HYOU1,3
ICA1,6
IER5L,3
IFI30,3
IGSF9B,5
IKBIP,3
IL11RA,2
IL1B,3
IL4I1,2
IL7R,2
ILF2,3
ILF3-DT,1
IMMP2L,6
INHBA,5
INMT,4
IQCN,6
ISM1,4
ITGA4,6
ITGA5,3
ITGAV,5
ITGAX,4
ITGB3,5
ITIH5,3
ITM2A,5
JPT1,5
KANSL1L,2
KANTR,2
KAT2A,1
KDELR1,5
KDELR2,6
KIF11,6
KIF18B,5
KIF20A,6
KIF23,3
KIF2C,4
KIF4A,6
KIFC1,5
KLF8,6
KLHDC1,6
KNL1,5
KPNA2,3
KYNU,2
L3MBTL1,5
LAMB1,6
LAYN,4
LEPR,5
LETMD1,4
LGI4,5
LHFPL2,3
LIFR,2
LIMS1,2
LIMS2,4
LINC00174,4
LINC00265,5
LINC00893,6
LINC00894,2
LINC01089,5
LINC01133,1
LINC01315,4
LINC01605,2
LINC01614,5
LMAN1,4
LMNB1,3
LMNB2,3
LOXL2,3
LPCAT1,3
LRIG2,3
LRIG3,2
LRP5,3
LRP8,6
LRR1,5
LRRC59,6
LRRN4CL,3
LSM12,6
LTBP4,4
LTC4S,4
LXN,2
LY6G5B,5
LYRM9,3
LZTS1,6
MAD2L1,5
MAGED1,3
MAMDC2,4
MAN2C1,5
MAOB,1
MAP1S,6
MAP4K4,3
MAPKAPK2,4
MARCKS,1
MARCKSL1,4
MATN2,4
MBOAT1,6
MBTD1,2
MCEMP1,3
MCF2L,4
MCM10,4
MCM6,4
MEGF6,6
MELK,6
METTL1,3
MFAP4,3
MFAP5,4
MFSD4A,5
MGAT2,4
MIR29B2CHG,4
MIR4435-2HG,3
MIR99AHG,6
MKI67,3
MMP1,6
MMP13,6
MMP14,4
MMP28,3
MMP3,3
MMP9,2
MPDU1,3
MPV17L,2
MRNIP,5
MRPL17,5
MRTFB,3
MS4A2,4
MSANTD3,3
MSC,5
MSN,6
MST1,6
MST1P2,3
MSX2,3
MTERF2,1
MTFP1,4
MTHFD1L,2
MTHFD2,4
MTMR2,5
MTURN,3
MYBL2,4
MYDGF,3
MYLIP,2
MYO15B,5
MYO1G,3
MYO5C,4
MYRIP,5
N4BP2L1,2
N4BP2L2,4
NACC1,3
NANS,3
NBEA,5
NBPF11,6
NBPF12,6
NCALD,3
NCAPG,6
NCLN,5
NDC80,5
NDRG2,1
NDUFA6-DT,2
NECTIN2,6
NEGR1,5
NEIL1,6
NETO2,5
NFIA,2
NFIB,2
NFIX,1
NID2,2
NIPA2,4
NISCH,2
NME1,4
NMNAT3,2
NOXA1,4
NPIPB13,1
NPY1R,5
NR3C2,2
NRIP3,5
NRN1,2
NRP2,3
NSUN5P1,4
NSUN5P2,3
NT5DC2,3
NTMT1,4
NTN4,6
NTRK2,5
NUF2,5
NUSAP1,6
NUTF2,2
NXPH3,2
OGA,1
OIP5,6
OLFML2B,3
ORAI2,6
ORC1,6
OSM,3
OSMR,5
OSR1,4
OSR2,6
OSTC,6
OVGP1,4
P2RY6,2
P3H1,4
P3H4,6
P4HA1,3
P4HA2,3
P4HA3,2
PALM,6
PAN2,3
PANX1,2
PAPSS2,6
PAQR4,3
PARD3B,5
PARP16,2
PBK,5
PBX1,6
PCDH17,2
PCLAF,4
PCMTD1,6
PCNA,4
PCOLCE2,3
PDE2A,4
PDE9A,2
PDGFD,4
PDIA3,2
PDIA4,3
PDIA6,2
PDPN,3
PDZD2,2
PEX1,4
PFN1,6
PGF,2
PGM5,6
PHC2,4
PHF19,6
PHF23,5
PHKA2,1
PHKG1,5
PHTF1,3
PHYHD1,1
PI15,2
PI16,3
PILRB,6
PIMREG,6
PKM,4
PKMYT1,5
PLA2G2A,6
PLA2G6,5
PLAC9,2
PLAU,4
PLAUR,5
PLCB4,3
PLEKHA7,4
PLEKHB2,5
PLEKHH1,3
PLEKHH2,4
PLK1,5
PLOD1,4
PLOD3,6
PLP1,2
PLPP3,2
PLSCR4,2
PMM2,3
PNPLA7,3
POC1A,4
PODN,5
POGZ,6
POLE2,4
POLR2J4,4
POLR3D,3
POU6F1,6
PPIB,3
PPIEL,4
PPIL1,4
PPIP5K1,3
PPM1G,3
PPOX,2
PPP1R18,5
PPP1R1B,4
PPP4C,4
PRC1,5
PRELP,4
PRR11,5
PRR16,3
PRSS23,2
PSMB2,4
PSRC1,6
PTGIS,4
PTPRE,2
PTPRS,3
PTTG1,5
PVR,2
PYCR1,4
RAB13,5
RAB27A,3
RAB31,6
RABL2A,3
RACGAP1,6
RAD51,5
RAD51-AS1,2
RAD51AP1,6
RAD54L,5
RAI14,6
RAI2,3
RALGAPA1,4
RAN,6
RANBP1,2
RAPGEF3,5
RASGRP3,4
RAVER2,3
RBL2,2
RBM33,5
RBM6,3
RBMS3,6
RCAN2,4
RCC1,2
RECK,4
RERG,4
REV3L,6
RFLNB,4
RGMA,5
RGS19,4
RGS3,3
RHOG,6
RIT1,4
RNASE4,5
RNF125,2
RNPC3,3
RPL26L1,4
RPN1,6
RPN2,4
RRAGB,5
RRBP1,5
RRM2,6
RRP7BP,3
RUNX1T1,6
RUNX2,4
RUVBL1,3
S1PR3,4
SACS,2
SAE1,3
SAV1,2
SBSPON,5
SCARB1,2
SCG5,6
SCN4B,6
SCUBE2,3
SDF2L1,3
SDHAP3,3
SEC13,5
SEC24D,2
SEC31B,5
SEC61A1,5
SEC61B,5
SELENBP1,4
SELENOP,3
SEMA3B,4
SEMA6A,3
SEMA6B,5
SERPINE1,3
SERPINH1,6
SERTAD4,1
SETD6,2
SEZ6L2,6
SFI1,4
SFRP1,5
SFXN1,6
SH3BGRL2,5
SH3BP5-AS1,5
SH3TC1,4
SHC1,2
SHC2,5
SHCBP1,3
SHKBP1,6
SHMT2,3
SIGLEC9,4
SKA1,5
SKA3,4
SLAMF8,2
SLC11A1,3
SLC16A14,3
SLC16A3,5
SLC20A1,2
SLC22A5,5
SLC25A23,3
SLC25A27,5
SLC25A29,2
SLC25A4,3
SLC29A1,2
SLC2A6,6
SLC39A14,4
SLC39A7,4
SLC52A2,4
SLIT3,6
SNAI1,4
SNAI2,6
SND1,2
SNRPB,3
SNRPB2,5
SNRPG,4
SPAG5,6
SPC24,5
SPDYE18,2
SPHK1,3
SPINDOC,6
SPP1,6
SPRED3,6
SPRY1,3
SPTBN1,4
SRA1,6
SRM,2
SRPRB,2
SSBP2,4
SSR1,6
SSR3,4
ST8SIA4,6
STAG3L5P-PVRIG2P-PILRB,6
STARD3NL,4
STARD9,4
STEAP1,5
STEAP1B,6
STIL,4
STMN1,6
STT3A,6
SULF1,1
SULF2,3
SUN1,5
SURF4,5
SV2A,3
SVEP1,3
SYBU,6
SYNE2,2
SYNM,5
SYT15,3
TACC3,4
TACR1,3
TAF1,1
TAPT1-AS1,1
TBC1D1,4
TBC1D8,4
TBX18,3
TCF7L1,6
TCF7L2,4
TEAD4,5
TFDP2,2
TGFB1,5
TGFBI,3
TGFBR1,4
TGFBR3,5
TGM2,2
THBS1,3
THBS4,1
THRA,2
THY1,3
TIMELESS,3
TIMM17A,3
TIMP1,3
TK1,5
TLE2,3
TLR3,1
TMCO3,4
TMED1,4
TMED10,2
TMED9,6
TMEM104,4
TMEM116,2
TMEM132A,5
TMEM147-AS1,5
TMEM158,5
TMEM198B,6
TMEM208,6
TMEM220,2
TMEM25,4
TMEM50B,2
TMEM8B,3
TMOD1,6
TNC,5
TNFAIP8L1,4
TNFRSF10D,6
TNFRSF12A,2
TNPO1,6
TNXB,5
TOMM40,3
TOP2A,5
TP73-AS1,1
TPM3,5
TPM4,3
TPX2,6
TREM1,6
TRIM2,5
TRIM59,4
TRIM66,5
TRIP13,5
TROAP,6
TRPV2,6
TSPAN17,5
TSPAN8,4
TSPOAP1,4
TTK,5
TTLL3,3
TTYH3,3
TUBA1B,4
TUBA1C,4
TUBB,3
TUBB3,2
TUSC3,5
TXNDC5,2
TYMS,6
UBAP1L,5
UBE2C,6
UBE2S,4
UBE2T,5
UCK2,3
UGDH,4
UHRF1,6
USB1,5
UVSSA,3
VASP,6
VIPR1,2
VIT,6
VMO1,3
VPS13D,2
VSIG10,6
VWA1,4
WASH2P,6
WDHD1,3
WDR1,6
WDR19,4
WIPI1,3
WNT11,4
WNT5A,4
XPNPEP2,5
YIF1A,5
YIF1B,6
YKT6,5
ZBTB44,2
ZDHHC16,5
ZFP36L2,4
ZFPM2,5
ZHX2,2
ZNF251,3
ZNF281,4
ZNF37BP,6
ZNF469,3
ZNF577,6
ZNF697,5
ZNF704,4
ZNF862,2
ZPR1,5
ZSCAN18,2
ZWINT,4
ZYX,3
